image_id,blip_caption,blip_finetuned_caption,git_caption,git_finetuned_caption,original_caption
24,a woman wearing a black parka jacket,a faux fur trimmed hood and a faux fur trimmed hood add a cozy touch to this water repellent parka,padded jacket with a hood,a sleek and sophisticated silhouette defines a stylish italian boot one - piece on a lugged sole,a contemporary silhouette meet classic composition in this zip up jacket made from waxed cotton and topped with a faux fur trimmed hood
25,a brown and pink floral top with a bow,a knotted hem add a vintage flourish to this soft and drapey floral print top,flower dress in brown,a bold plaid in a modern cut add to the laid back vibe of this sport tee,this popover v neck top to wear anywhere feature a sweet floral print and a flattering tie front
26,a man in a blue shirt and black pants,a soft cotton blend mean easy comfort in a versatile t tee with versatile appeal,men ' s t - shirt with a short sleeve,a bold plaid in a modern cut add to the modern appeal of this stretch cotton tee,a stretchy cotton blend jersey brings breathable easy to move comfort to an all intensity t tee that wick away sweat and block harmful uv ray
27,a woman in a floral top and white shorts,a sunny day is calling you to be the sunny one in this off the shoulder top styled with a flouncy neckline and a flouncy peplum,off the shoulder top with white shorts,a bold plaid in a modern cut add to the laid back vibe of this stretch cotton tee,hit the sunshine style refresh button in this richly embroidered cropped popover top elasticized at the neckline and hemline to ensure it fit a you fancy
28,men ' s sandals with leather straps,a sporty sandal with a cushioned arch support footbed is crafted with a contoured arch support footbed for all day comfort,sandal in brown,a sleek and sophisticated silhouette defines a stylish italian sneaker built from a stretchy sole,smooth full grain leather with an oiled finish add natural appeal to a laid back sandal with fluidform technology and a lightweight sole
29,a woman in a white shirt and black pants,a cropped wide leg silhouette is cut from soft stretchy italian stretch denim for a slimming effect,black trousers with a slim fit,a sleek and sophisticated silhouette defines a stylish italian sneaker built from a stretchy sole,deck your leg in lovely lace this season with these pull on ankle pants finished in scalloped eyelash lace at the hem
30,a white wedding dress with a long train,this wedding gown can t be purchased online but is available for special order in our in store wedding suite,wedding dress in white with a touch of glam,a bold plaid in a modern cut add to the modern appeal of this stretch cotton tee,this wedding gown can t be purchased online but is available for special order in our in store wedding suite
31,a woman in a yellow dress,a ruffled neckline and a frilly skirt make this dress a sweet and sunny standout,yellow dress in the wind,a bold plaid in a modern cut add to the modern appeal of this stretch cotton tee,ladylike ruffle round the scooped neckline of a snug smocked crop top that go great with a basketful of flower from the market
32,a pair of black leather loafs,a signature grand o logo brand the side of a classic driving shoe fitted with a cushioned arch support footbed for all day comfort,black canvas shoes in a shoe,a sleek and sophisticated silhouette defines a stylish italian sneaker built from a stretchy sole,a sporty take on a 9 to 5 classic this penny loafer is one-piece on a light and flexible sneaker sole and offer stable comfort and support through the day
33,a man in a blue suit and white shirt,a dense texture defines a classic sport coat crafted from pure italian wool and framed with smart notched lapel,blue suit with a white shirt,a sleek and sophisticated silhouette defines a stylish italian sneaker built from a durable water resistant sole,rich bird s eye textured virgin wool defines a charming italian blazer with indelible appeal
34,a pair of silver earrings with white diamonds,these elegant and simple earring are crafted with a pair of slender curved drop earring with a sparkling crystal stone in the center,these earrings are a must for any occasion!,a bold plaid in a modern cut add to the modern appeal of this stretch cotton tee,designed to thread gracefully through your lobe this sparkling diamond pair top your look with modern minimalist elegance
35,a man in a white shirt and black pants,a classic flat front cut defines versatile straight leg pants cut from lightweight stretch cotton,men ' s black trousers with a white collar,a sleek and sophisticated silhouette defines a stylish italian sneaker built from a stretchy sole,smooth woven drawstring pants offer leisurely comfort in a washed stretch cotton tailored with a modern tapered fit
36,a woman in a grey dress,a chic and sophisticated gown for the new season is cut from lustrous stretch crepe with a flattering mermaid skirt and a flattering halter neckline,long black dress with a long neckline and a long black skirt.,a sleek and sophisticated silhouette defines a stylish italian sneaker built from supima cotton,simply elegant and flattering to most figure this stretch crepe gown beautifully hug your curve before flaring out at the knee
37,a woman wearing a purple hoodie and grey leggings,a cozy and cozy pullover is cut from a soft and stretchy fleece for a cozy cozy fit,purple long sleeved shirt with a zipper,a sleek and sophisticated silhouette defines a stylish italian sneaker built from a stretchy sole,this drapey relaxed hood will keep you comfy and cozy while you re chilling at home all weekend long
38,u women ' s u - zip boot,a plush faux fur lining add a cozy touch to this water resistant boot,black boot with a white sole and a black sole,a sleek and sophisticated silhouette defines a stylish italian sneaker built from a stretchy sole,an antislip eva sole provides stable grounding in a warm and cozy waterproof boot crafted with a lush shearling fur collar and dual side zip for easy on and off
39,a man wearing a striped shirt and khaki pants,a classic stripe t tee is cut from soft breathable cotton for easy comfort in a classic fit,men ' s t - shirt in black and white,a bold plaid in a modern cut add to the modern appeal of this stretch cotton tee,slim railroad stripe make track around a t tee cut for comfort at every stop from midweight cotton blend jersey
40,a pair of black sued boots,a slim tie at the back add a touch of signature style to the thigh high heel of this sleek over the knee boot,over the knee boots - black,a sleek and sophisticated silhouette defines a stylish italian sneaker built from supima cotton,slim tie cinch the topline of a fashion forward boot in a leg lengthing over the knee silhouette designed with a gently rounded toe and a wrapped block heel
41,a woman wearing a plaid shirt and pants,a classic plaid tee is updated with a drawstring waist and a classic silhouette,shirt in plaid,a bold plaid in a modern cut add to the modern appeal of this stretch cotton tee,this essential plaid tee wa made for laid back day with it generous cut lightweight herringbone fabric and muted palette
42,a woman wearing a white t - shirt,a soft and stretchy cotton blend mean easy comfort in this versatile t tee,white t - shirt with a short sleeve,a bold plaid in a modern cut add to the modern appeal of this stretch cotton tee,an essential crewneck tee get upgraded in tightly knit midweight cotton fleece
43,a pair of black glitter shoes,a glittery pump is a signature of the house s signature house s signature house s signature house s signature house s signature house s iconic house s iconic house,black shoe with silver detail... i love the cut out in the middle,a sleek and sophisticated silhouette defines a stylish italian sneaker built from a stretchy sole,make a bold statement in this 90 inspired pump lifted by a chunky platform and a soaring slimmed down block heel
44,a pair of black combat boots with a chain on the sole,a lugged lugged sole brings street chic style to a lugged lugged boot with a lugged lugged sole,black snow boots with a zipper,a sleek and sophisticated silhouette defines a stylish italian sneaker built from a stretchy sole,sparkling row of crystal highlight the textured leather of a lugged sole combat boot that s all attitude
45,a woman in a colorful dress is posing,a colorfully striped dress with a flattering high low hem is cut from soft stretchy fabric for a flattering fit,striped dress in rainbow colors,a bold plaid in a modern cut add to the modern appeal of this stretch cotton tee,feel bright and cheery in this colorfully striped midi styled with slinky adjustable strap and a layered high low skirt
46,a woman in a dress with a floral pattern,a vintage floral print is the perfect choice for the season s newest neutral hue,dress in brown,a bold plaid in a modern cut add to the laid back vibe of this stretch cotton tee,a snake print play with color to charming effect in this pure silk dress accented with alluring keyhole detail at the front and back
47,a woman in a skirt and top,a metallic shimmer flecked skirt is cut from a stretchy knit for a flattering fit,black dress with a zipper in the back,a bold plaid in a modern cut add to the laid back vibe of this stretch cotton tee,upgrade your night out look with the scene stealing glamour of this shimmerstruck miniskirt
48,a woman wearing a green parka jacket,this classic parka is made of durable water repellent tech fabric with a cozy hood and a cozy faux fur trimmed hood,jacket with a collar and a collar,a sleek and sophisticated silhouette defines a stylish italian loafer with a sleek silhouette,a breathable waterproof jacket offer functional style with brassy snap a tartan lined hood and a softly inverted pleat shaping the silhouette
49,a woman wearing a brown top,a drapey tie detail the shoulder of this soft stretchy tank,brown blouse with a v - neck,a bold plaid in a modern cut add to the laid back vibe of this sport tee,turn up the glam for cocktail season with this artfully gathered and draped camisole of fluid shimmering charmeuse with gleaming chain strap
50,a woman wearing a yellow snake skin coat,a snake print trench is designed with a belted waist and a signature belted waist for a vintage vibe,over the shoulder dress,a bold plaid in a modern cut add to the laid back vibe of this stretch cotton tee,take your look from basic to gram worthy with this snakeskin printed trench coat that s glammed up with neon hue and a lacquered finish
51,a woman wearing a white top with a floral print,a pretty floral print is the perfect choice for the sunny day in this flowy top cut from a lightweight crinkled silk blend,off white with a touch of pink in the background,a bold plaid in a modern cut add to the modern appeal of this stretch cotton tee,everyday romance is perfected in this ethereal blouse shaped with waist cinching smocking and colored with a summery and romantic floral print
52,a woman in a white shirt and jeans,a faded wash and whiskering give these jeans a vintage vibe,women ' s jeans - black over the knee,a bold plaid in a modern cut add to the modern appeal of this stretch cotton tee,a super faded light wash with lived in distressing give these cropped straight leg jeans a perfect vintage y vibe
53,a woman wearing a white dress and jacket,a flowy jacket of soft and drapey crinkled silk is cut with a wide open front and a loose silhouette,white blouse with a button down shirt,a bold plaid in a modern cut add to the modern appeal of this stretch cotton tee,a ribbed hem add a bit of extra flair to an open front cardigan detailed with pretty bracelet length sleeve
54,a woman in a dress with a floral print,a tropical print of palm tree and palm frond enlivens this sleeveless fit and flare dress cut from a stretch crepe blend,dress in blue,a bold plaid in a modern cut add to the modern appeal of this stretch cotton tee,jacquard flower illustrate this dual v neck dress featuring a pleat flared skirt with side seam pocket
55,a man wearing a black cardigan sweater and grey pants,a bold tropical print enlivens this cozy cardigan styled with a shawl collar and a signature shawl collar,black cardigan with a floral print,a sleek and sophisticated silhouette defines a stylish italian loafer with a sleek silhouette,multidirectional ribbing texture a slim zip cardigan that s casual comfortable and stylish
56,a woman in a white shirt and black pants,a drapey scarf of soft cashmere is a cozy chic addition to your cozy day,black cardigan with white t - shirt and black cardigan over white t - shirt,a sleek and sophisticated silhouette defines a stylish italian sneaker built from a stretchy sole,dramatically draped front panel add maximum versatility to a lightweight knit cardigan that can be styled in numerous way to flatter your figure during and after pregnancy
57,a woman in a black jumpsuit with a white background,a grommet studded belt accentuates the waist of these soft stretchy knit pants,black skinny jeans with a slim fit,a sleek and sophisticated silhouette defines a stylish italian sneaker built from a stretchy sole,tuxedo pants are reimagined in delicate romantic lace with crepe side stripe detailed by decorative rouleau button near the hem
58,a woman wearing a white top and plaid pants,a soft and drapey knit top is cut with a flattering v neck and a flattering silhouette,white top with a plaid skirt,a bold plaid in a modern cut add to the modern appeal of this stretch cotton tee,make a new statement this season with this relaxed fit top framed by boldly styled dropped shoulder sleeve cut in a lantern shape that end at the elbow
59,a pair of yellow stud earrings,these sleek and simple cuff or tie clip is crafted from lustrous lustrous metal and accented with a lustrous enamel,ring in sterling silver with a yellow egg,a bold plaid in a modern cut add to the modern appeal of this stretch cotton tee,these enameled cuff link in the shape of a fortune cookie are a sure prediction his fashion future is on the rise
60,a woman wearing a white sweater and tan pants,a soft and cozy fleece pullover is cut with a cozy fit and a cozy feel,i love the white sweater with the long sleeves.,a bold plaid in a modern cut add to the modern appeal of this stretch cotton tee,a wide crewneck and chest patch pocket add subtle vintage sensibility to a soft fleece cotton sweatshirt that s a year round standby
61,a woman wearing a yellow bikini top,a twisted detail at the front add a sweet touch to this soft stretchy bikini top,yellow bikini top with bow in yellow bikini,a bold plaid in a modern cut add to the laid back vibe of this stretch cotton tee,feminine and flirty this tie front bikini top come in a bright beach worthy hue
62,a woman in a black tank top and shorts,a soft and stretchy knit make this tank feel great on the beach or on the boardwalk,black tank top with a long neckline and a long sleeved top in black,a sleek and sophisticated silhouette defines a stylish italian sneaker built from a stretchy sole,the dream start a soon a you don these chic shorts pajamas cut from a soft and stretchy fabric with a lilt of lace added at the back for extra allure
63,a black shoe with a wooden heel,a chunky platform and a chunky heel bring modern counterpoint to this versatile boot,black suede over the knee boots,a sleek and sophisticated silhouette defines a stylish italian sneaker built from a stretchy sole,stay chic in wet weather with this waterproof loafer one-piece on a block heel and featuring a soft lining sustainably made from recycled plastic bottle
64,a woman in a bikini top and bottom,a leopard print swim top with a flattering high cut and a flattering high cut with a flattering high cut waistband,leopard print swimsuit in pink and black,a bold plaid in a modern cut add to the laid back vibe of this stretch cotton tee,high waist high leg bikini bottom are utterly 90 with their color blocked palette splattered in fierce leopard spot
65,re re re re re re re re re re re re re re re re re re re re re re re re re re re re,a removable logo brand the tongue of a vintage inspired sneaker in a vintage inspired silhouette,womens casual white canvas shoes with a green logo,a bold plaid in a modern cut add to the modern appeal of this stretch cotton tee,coated leather perforation across the toe and a window framed logo detail a fan favorite sneaker sporting iconic pivot zone construction in the tread
66,a woman in a black dress with white flowers,a vintage floral print is the perfect choice for the sunny season in this flowy dress cut from a soft and stretchy crepe fabric,black dress with flowers in the back,a bold plaid in a modern cut add to the laid back vibe of this stretch cotton tee,tailored for compliment this flower powered dress defines the waist with a softly tied thongs at one side
67,a woman in a black swimsuit,a soft stretchy fabric make this swimsuit feel like a dream in a classic silhouette with a flattering high cut back,black swimsuit with a white stripe around the waist,a sleek and sophisticated silhouette defines a stylish italian sneaker built from a stretchy sole,take the plunge in a one one-piece that flatters the figure with a strappy back and side a well a high cut leg and moderate back coverage
68,a woman in a green dress,a drapey tie waist and waist defining belt add a flattering twist to this flowy midi dress,person dresses off the shoulder,a bold plaid in a modern cut add to the laid back vibe of this stretch cotton tee,a fit and flare for the jumpsuit lover this wrap look style feature a waist cinching sash and cropped flared leg for the silhouette of the season
69,a woman in a blue dress standing on a white background,a soft stretchy knit dress is cut with a waist defining tie for a flattering fit and flare silhouette,girl in blue dress,a bold plaid in a modern cut add to the laid back vibe of this stretch cotton tee,a swingy tank dress made from soft stretch knit jersey is the kind of staple that roll from brunch to farmer market to bonfire without a hitch
70,a man wearing a grey polo shirt,a soft and stretchy piqu knit mean easy comfort in a versatile polo cut in a slim fit with a signature signature logo at the chest,men ' s polo shirt in gray,a bold plaid in a modern cut add to the laid back vibe of this sport tee,this lightweight polo made of smartwool s sport fabric that dry quickly regulates temperature and resists odor is perfect for work or play
71,a woman wearing a black blouse and jeans,a drapey blouse of lustrous silk is designed with a flattering wrap neckline and a flattering tie at the waist,black off the shoulder top,a sleek and sophisticated silhouette defines a stylish italian loafer with a sleek silhouette,wrap styling and blouson sleeve add vintage appeal to a silky blouse in a tonal dot pattern
72,the row of sunglasses,these italian crafted sunglass are crafted in the usa from lightweight polycarbonate acetate and acetate for a vintage feel,vintage sunglasses in white with a black and gold print,a bold plaid in a modern cut add to the modern appeal of this stretch cotton tee,styled with the same upswept cat eye silhouette a when they were released in 1988 these sunglass offer a timeless look and full sun protection
73,a woman in a black swimsuit,a sleek and shapely swimsuit with a flattering v neckline is cut from a soft stretchy fabric with a flattering high cut back,sexy black bikini model in black with a pearl necklace and gold necklace,a sleek and sophisticated silhouette defines a stylish italian sneaker built from a stretchy sole,look 10 pound lighter in 10 second sculpted by ruching a surplice neck swimsuit is designed to smooth hold and shape thanks to the ingenuity of lycra spandex
74,a woman in black sports gear,a stretchy pullover with a high neckline and a cozy pull is cut from a soft stretchy knit with a soft fleece lining for comfort,long sleeved fit fit fit with a hoodie,a sleek and sophisticated silhouette defines a stylish italian loafer with a sleek silhouette,metallic thermal panel shimmer on a fitted training top that combine sweat wicking support with targeted ventilation so you stay cool during intense workout
75,a woman in white pants and a blue jacket,a cool and easy jacket to wear on your sunny day is cut from soft and drapey crinkled fabric with a touch of stretch,the jacket is a must have in your wardrobe!,a bold plaid in a modern cut add to the laid back vibe of this stretch cotton tee,a mint green jacket is bubbled with dot and crafted with a mandarin collar to offer a casually elegant layering option for lot of look
76,a woman in a pink dress,a soft pink dress with a square neckline is cut from a stretchy knit for a flattering fit,pink mini dress in a pink mini dress,a bold plaid in a modern cut add to the modern appeal of this stretch cotton tee,a lot of stylish detail is packed into this chic and simple mini with a seam striped bodice and flirt amplifying notch at the front hemline
77,a man wearing a jacket and pants,a classic plaid jacket is updated with a contrast collar and contrast trim at the collar cuff,men ' s casual shirts for the men,a bold plaid in a modern cut add to the laid back vibe of this stretch cotton tee,handsome glen plaid and dark cotton poplin double the wearing option of a reversible jacket styled with a stand collar and ribbing at the cuff and hem
78,champion t - shirt black,a classic logo patch at the chest and back of a classic logo t tee cut from soft cotton,custom order and custom order for all teams.,a sleek and sophisticated silhouette defines a stylish italian loafer with a sleek silhouette,champion celebrates it 100 year heritage with this heavyweight jersey tee branded with a commemorative c100 jock tag and chenille logo appliqu
79,a woman in a white shirt and black pants,a cropped wide leg cut in a comfortable stretch cotton blend is cut with a flattering high waist and cropped leg,black trousers with a slim fit,a sleek and sophisticated silhouette defines a stylish italian sneaker built from a stretchy sole,these pants get perfect ease and comfort from a cropped straight leg cut of a sustainably produced ribbed knit with plenty of give
80,a man in a black jacket and grey t - shirt,a sleek and sporty bomber jacket is cut from soft italian wool and fitted with a sleek zipper at the chest,men ' s black leather jacket with a hoodie,a sleek and sophisticated silhouette defines a stylish italian loafer with a sleek silhouette,clean no nonsense style mean versatile appeal for this modernized bomber jacket with tech inspired design cue
81,a woman in a jumpsuit with a white background,a soft and stretchy cotton blend mean easy comfort in this button front jumpsuit styled with a waist defining belt,navy blue jumpsuit with buttons on the front,a sleek and sophisticated silhouette defines a stylish italian sneaker built from a stretchy sole,switch up your casual look in a one and done jumpsuit that s snap fastened and cut from velvety soft stretch corduroy
82,a woman wearing a blue floral print dress,a drapey tie waist dress with a flowy silhouette is cut from soft and drapey silk with a vibrant floral print,woman in a blue dress,a bold plaid in a modern cut add to the laid back vibe of this stretch cotton tee,enchanting and eye catching this flattering gown is covered in vibrant wild bloom and designed with split sleeve that flutter all evening long
83,a man wearing a black t - shirt and jeans,a soft and stretchy cotton blend mean easy comfort in a versatile t tee with versatile appeal,men ' s black t - shirt with a collar,a sleek and sophisticated silhouette defines a stylish italian loafer with a sleek silhouette,a lightly slubbed cotton knit brings mottled color and texture to a t tee designed with a neat slim fit and sporty side slit
84,a woman wearing a colorful shirt and black pants,a vibrant zigzag print in vibrant color and pattern enlivens this flowy split neck blouse,"striped long sleeve shirt in blue, orange and green",a bold plaid in a modern cut add to the laid back vibe of this sport tee,vivid stripe and grommet detailing bring a playful feel to this colorful top cut from soft georgette
85,a woman in a black and white shirt,a classic button down in a classic monochrome print is cut from a soft and stretchy fabric with a touch of stretch for comfort,black and white blouse with buttons on the front and back.,a sleek and sophisticated silhouette defines a stylish italian loafer with a sleek silhouette,this perfect tee for book club or anytime you re feeling a little festive is cut from wrinkle free cotton sateen with a sly wine glass print
86,a woman wearing a black top with a bow,a twisted detail at the waist add a pretty touch to this drapey blouse,black blouse with a bow,a sleek and sophisticated silhouette defines a stylish italian loafer with a sleek silhouette,go for the grace note in your ootd with this softly knotted crepe top finished with a floaty peplum
87,a boy wearing a brown and yellow outfit,a soft and cozy fleece blend mean easy comfort in these easy drawstring waist pants cut with a wide leg silhouette,long brown skirt with a gold stripe over the waist,a sleek and sophisticated silhouette defines a stylish italian sneaker built from a stretchy sole,channel your inner track star in these retro inspired track pants cut super loose through the leg before tapering at the ankle
88,a man in a suit and tie standing,a classic houndstooth pattern defines a sport coat crafted from pure wool and framed with smart notched lapel,men ' s suit jacket with a tie,a sleek and sophisticated silhouette defines a stylish italian loafer with a sleek silhouette,a richly textured blend of cotton linen and silk defines an italian made sport coat in a cut that s fitted through the chest and side with higher armhole
89,a man in a suit and white sneakers,classic check mark a classic suit cut from pure italian wool and framed with smart notched lapel,men ' s gray suit jacket with a tie,a bold plaid in a modern cut add to the modern appeal of this stretch cotton tee,slim fit plaid trousers throw a casual curve ball to smart style and knock it out of the park with an elastic waist for comfort all day
90,a man in a suit and white shirt,a classic houndstooth pattern defines a classic sport coat crafted from pure wool and framed with smart notched lapel,men ' s grey suit jacket with a white t - shirt,a bold plaid in a modern cut add to the laid back vibe of this sport tee,a richly textured blend of wool silk and cashmere elevates a vintage inspired italian sport coat with a contrast collar tab
91,a woman wearing a striped shirt and black pants,a classic crewneck tee is updated in a classic stripe pattern with a slouchy fit and a slouchy fit,striped shirt in black and white,a bold plaid in a modern cut add to the laid back vibe of this sport tee,navy stripe pattern this linen kissed jersey tee slub knit and slouched for a soft relaxed vibe
92,a pair of wedged sandals with a striped wedged heel,signature signature signature brand stripe add signature signature style to this italian crafted sandal with a signature signature signature signature brand signature signature sole,i love the stripes on this shoe.,a bold plaid in a modern cut add to the modern appeal of this stretch cotton tee,a joyful celebration of color pattern and texture this towering wedge sandal is clad in sunny cross stitching and framed in braiding and gleaming stud
93,a woman wearing a blue sweater with a striped pattern,a logo patch at the chest of a classic crewneck sweater cut from a soft cashmere blend,men ' s long sleeved shirt with a collar and a logo on the front.,a bold plaid in a modern cut add to the laid back vibe of this sport tee,loewe s anagram based on cattle brand originally used to stamp the spanish house s leather good add heritage charm to this striped wool sweater
94,a woman in a sports outfit and jacket,this lightweight jacket is made with a high neckline and quilted construction for a comfortable fit,women ' s athletic fit jacket with a black and red athletic bodysuit,a sleek and sophisticated silhouette defines a stylish italian sneaker built from a stretchy sole,take your workout outdoors with this fitted jacket designed with primaloft insulated paneling that help keep in warmth and regulate body temperature
95,a woman ' s beige sneakers with lace and lace,a signature signature snake embossed upper add a signature touch to this street chic sneaker,womens casual white leather sneaker with a floral design,a bold plaid in a modern cut add to the modern appeal of this stretch cotton tee,star shaped cutout texture this lace up sneaker that s made with a comfort gel footbed and boosted by a chunky platform sole
